注文番号,販売日,店舗,商品コード,商品名,カテゴリ,カラー,サイズ,定価,販売価格,数量,売上金額,値引額,値引率,販売チャネル
ORD-202609-02089,2026/09/01,大阪店,AC-002,SILK SCARF,ACCESSORY,WHITE,M,1000,1000,1,1000,0,0.0,店舗
ORD-202609-02116,2026/09/01,表参道店,OT-001,WOOL COAT,OUTER,BLACK,M,6200,6200,1,6200,0,0.0,店舗
ORD-202609-02250,2026/09/01,EC,TP-003,BAND COLLAR SHIRT,TOPS,GRAY,S,1400,1400,1,1400,0,0.0,オンライン
ORD-202609-02262,2026/09/01,新宿店,KN-005,COTTON KNIT,KNIT,BLACK,L,2500,2500,1,2500,0,0.0,店舗
ORD-202609-02375,2026/09/01,EC,TP-002,OX SHIRT,TOPS,BLACK,M,900,760,1,760,140,0.15,オンライン
ORD-202609-02477,2026/09/01,新宿店,SH-004,COURT SNEAKER,SHOES,BLACK,L,3900,3900,1,3900,0,0.0,店舗
ORD-202609-02527,2026/09/01,EC,BG-001,TOTE BAG,BAG,NAVY,S,1800,1800,1,1800,0,0.0,オンライン
ORD-202609-02608,2026/09/01,EC,AC-001,WOOL CAP,ACCESSORY,GRAY,S,500,500,1,500,0,0.0,オンライン
ORD-202609-02628,2026/09/01,新宿店,SH-003,CHUKKA BOOTS,SHOES,BLACK,XL,3900,3120,1,3120,780,0.2,店舗
ORD-202609-02803,2026/09/01,大阪店,JK-001,TECH JACKET,JACKET,BLACK,L,4500,4500,1,4500,0,0.0,店舗
ORD-202609-02983,2026/09/01,EC,AC-001,WOOL CAP,ACCESSORY,NAVY,M,500,500,3,1500,0,0.0,オンライン
ORD-202609-00096,2026/09/02,表参道店,BG-001,TOTE BAG,BAG,NAVY,M,1800,1800,1,1800,0,0.0,店舗
ORD-202609-00102,2026/09/02,新宿店,JK-001,TECH JACKET,JACKET,GRAY,L,4500,4500,1,4500,0,0.0,店舗
ORD-202609-00120,2026/09/02,大阪店,PT-002,WIDE PANTS,PANTS,BLACK,S,1800,1800,1,1800,0,0.0,店舗
ORD-202609-00209,2026/09/02,大阪店,BG-002,SHOULDER BAG,BAG,KHAKI,M,3300,3300,1,3300,0,0.0,店舗
ORD-202609-00226,2026/09/02,表参道店,TP-001,BASIC TEE,TOPS,BLACK,L,1400,1400,2,2800,0,0.0,店舗
ORD-202609-00368,2026/09/02,新宿店,PT-002,WIDE PANTS,PANTS,BLACK,S,1800,1530,1,1530,270,0.15,店舗
ORD-202609-00494,2026/09/02,新宿店,SH-001,LOW SNEAKER,SHOES,NAVY,M,2400,2400,1,2400,0,0.0,店舗
ORD-202609-00515,2026/09/02,新宿店,TP-002,OX SHIRT,TOPS,NAVY,S,900,900,1,900,0,0.0,店舗
ORD-202609-00532,2026/09/02,大阪店,TP-002,OX SHIRT,TOPS,BLACK,S,900,900,1,900,0,0.0,店舗
ORD-202609-00544,2026/09/02,EC,KN-001,WOOL KNIT,KNIT,BLACK,XL,2500,2500,1,2500,0,0.0,オンライン
ORD-202609-00616,2026/09/02,EC,SH-001,LOW SNEAKER,SHOES,BLACK,XL,2400,2400,1,2400,0,0.0,オンライン
ORD-202609-00655,2026/09/02,EC,TP-001,BASIC TEE,TOPS,GRAY,M,1400,980,1,980,420,0.3,オンライン
ORD-202609-00664,2026/09/02,表参道店,TP-001,BASIC TEE,TOPS,BEIGE,M,1400,1400,1,1400,0,0.0,店舗
ORD-202609-00677,2026/09/02,EC,SH-004,COURT SNEAKER,SHOES,GRAY,L,3900,3320,1,3320,580,0.15,オンライン
ORD-202609-00692,2026/09/02,大阪店,KN-001,WOOL KNIT,KNIT,WHITE,M,2500,2500,2,5000,0,0.0,店舗
ORD-202609-00723,2026/09/02,EC,BG-002,SHOULDER BAG,BAG,BLACK,S,3300,2640,1,2640,660,0.2,オンライン
ORD-202609-00811,2026/09/02,EC,SH-001,LOW SNEAKER,SHOES,KHAKI,XL,2400,1920,1,1920,480,0.2,オンライン
ORD-202609-00876,2026/09/02,EC,KN-003,CREW KNIT,KNIT,GRAY,XL,2000,2000,1,2000,0,0.0,オンライン
ORD-202609-00893,2026/09/02,大阪店,JK-003,QUILTED JACKET,JACKET,NAVY,XL,5000,4000,3,12000,3000,0.2,店舗
ORD-202609-00916,2026/09/02,新宿店,SH-004,COURT SNEAKER,SHOES,BLACK,M,3900,2920,1,2920,980,0.25,店舗
ORD-202609-01006,2026/09/02,新宿店,KN-001,WOOL KNIT,KNIT,KHAKI,L,2500,2500,2,5000,0,0.0,店舗
ORD-202609-01107,2026/09/02,新宿店,KN-002,CABLE KNIT,KNIT,BLACK,L,2000,2000,1,2000,0,0.0,店舗
ORD-202609-01208,2026/09/02,EC,OT-001,WOOL COAT,OUTER,BLACK,XL,6200,5580,1,5580,620,0.1,オンライン
ORD-202609-01215,2026/09/02,EC,SH-002,SUEDE BOOTS,SHOES,WHITE,XL,2400,2400,1,2400,0,0.0,オンライン
ORD-202609-01229,2026/09/02,EC,PT-003,TAPERED PANTS,PANTS,BLACK,M,2800,2100,1,2100,700,0.25,オンライン
ORD-202609-01256,2026/09/02,EC,OT-004,STAND COAT,OUTER,BLACK,M,7200,5400,2,10800,3600,0.25,オンライン
ORD-202609-01329,2026/09/02,EC,AC-001,WOOL CAP,ACCESSORY,WHITE,L,500,500,1,500,0,0.0,オンライン
ORD-202609-01334,2026/09/02,EC,BG-003,2WAY BAG,BAG,WHITE,XL,1800,1800,1,1800,0,0.0,オンライン
ORD-202609-01347,2026/09/02,EC,TP-001,BASIC TEE,TOPS,NAVY,M,1400,1260,1,1260,140,0.1,オンライン
ORD-202609-01407,2026/09/02,EC,JK-003,QUILTED JACKET,JACKET,KHAKI,L,5000,5000,1,5000,0,0.0,オンライン
ORD-202609-01447,2026/09/02,EC,TP-001,BASIC TEE,TOPS,NAVY,L,1400,1400,1,1400,0,0.0,オンライン
ORD-202609-01455,2026/09/02,EC,OT-002,CHESTER COAT,OUTER,BLACK,XL,6700,5700,1,5700,1000,0.15,オンライン
ORD-202609-01526,2026/09/02,EC,OT-001,WOOL COAT,OUTER,WHITE,XL,6200,4960,2,9920,2480,0.2,オンライン
ORD-202609-01550,2026/09/02,表参道店,OT-002,CHESTER COAT,OUTER,KHAKI,M,6700,6700,1,6700,0,0.0,店舗
ORD-202609-01575,2026/09/02,EC,AC-001,WOOL CAP,ACCESSORY,NAVY,M,500,500,1,500,0,0.0,オンライン
ORD-202609-01597,2026/09/02,EC,KN-001,WOOL KNIT,KNIT,BLACK,XL,2500,2000,1,2000,500,0.2,オンライン
ORD-202609-01607,2026/09/02,EC,KN-002,CABLE KNIT,KNIT,NAVY,M,2000,2000,1,2000,0,0.0,オンライン
ORD-202609-01639,2026/09/02,新宿店,AC-002,SILK SCARF,ACCESSORY,BLACK,L,1000,1000,1,1000,0,0.0,店舗
ORD-202609-01649,2026/09/02,EC,OT-002,CHESTER COAT,OUTER,BLACK,M,6700,5020,1,5020,1680,0.25,オンライン
ORD-202609-01707,2026/09/02,新宿店,PT-001,SLIM PANTS,PANTS,WHITE,M,1800,1260,3,3780,1620,0.3,店舗
ORD-202609-01715,2026/09/02,EC,OT-003,MOD COAT,OUTER,BLACK,S,5200,4420,1,4420,780,0.15,オンライン
ORD-202609-01779,2026/09/02,新宿店,JK-005,MDS JACKET,JACKET,KHAKI,S,4000,3600,1,3600,400,0.1,店舗
ORD-202609-01856,2026/09/02,EC,KN-001,WOOL KNIT,KNIT,BLACK,M,2500,2250,1,2250,250,0.1,オンライン
ORD-202609-01865,2026/09/02,EC,SH-001,LOW SNEAKER,SHOES,BLACK,L,2400,2400,1,2400,0,0.0,オンライン
ORD-202609-01869,2026/09/02,EC,TP-001,BASIC TEE,TOPS,NAVY,L,1400,1400,1,1400,0,0.0,オンライン
ORD-202609-01879,2026/09/02,大阪店,TP-001,BASIC TEE,TOPS,BLACK,L,1400,1400,1,1400,0,0.0,店舗
ORD-202609-01912,2026/09/02,大阪店,BG-001,TOTE BAG,BAG,BLACK,XL,1800,1800,1,1800,0,0.0,店舗
ORD-202609-01924,2026/09/02,大阪店,PT-001,SLIM PANTS,PANTS,BLACK,L,1800,1800,1,1800,0,0.0,店舗
ORD-202609-01925,2026/09/02,EC,OT-001,WOOL COAT,OUTER,BEIGE,XL,6200,6200,2,12400,0,0.0,オンライン
ORD-202609-01937,2026/09/02,新宿店,BG-003,2WAY BAG,BAG,BLACK,S,1800,1350,1,1350,450,0.25,店舗
ORD-202609-01963,2026/09/02,EC,OT-002,CHESTER COAT,OUTER,BLACK,XL,6700,6700,1,6700,0,0.0,オンライン
ORD-202609-01965,2026/09/02,EC,AC-003,LEATHER BELT,ACCESSORY,BLACK,XL,1000,900,1,900,100,0.1,オンライン
ORD-202609-01993,2026/09/02,EC,AC-004,KNIT MUFFLER,ACCESSORY,KHAKI,L,1000,1000,2,2000,0,0.0,オンライン
ORD-202609-02005,2026/09/02,表参道店,KN-001,WOOL KNIT,KNIT,BEIGE,M,2500,2000,1,2000,500,0.2,店舗
ORD-202609-02062,2026/09/02,EC,OT-001,WOOL COAT,OUTER,KHAKI,S,6200,6200,1,6200,0,0.0,オンライン
ORD-202609-02070,2026/09/02,新宿店,SH-001,LOW SNEAKER,SHOES,WHITE,XL,2400,2400,1,2400,0,0.0,店舗
ORD-202609-02075,2026/09/02,新宿店,AC-001,WOOL CAP,ACCESSORY,BLACK,L,500,500,1,500,0,0.0,店舗
ORD-202609-02078,2026/09/02,EC,TP-001,BASIC TEE,TOPS,WHITE,L,1400,1400,1,1400,0,0.0,オンライン
ORD-202609-02084,2026/09/02,表参道店,BG-002,SHOULDER BAG,BAG,NAVY,XL,3300,3300,1,3300,0,0.0,店舗
ORD-202609-02136,2026/09/02,大阪店,PT-003,TAPERED PANTS,PANTS,GRAY,S,2800,2800,1,2800,0,0.0,店舗
ORD-202609-02276,2026/09/02,新宿店,OT-001,WOOL COAT,OUTER,KHAKI,L,6200,4960,1,4960,1240,0.2,店舗
ORD-202609-02302,2026/09/02,EC,OT-001,WOOL COAT,OUTER,BLACK,L,6200,6200,2,12400,0,0.0,オンライン
ORD-202609-02303,2026/09/02,新宿店,JK-002,SHELL JACKET,JACKET,BLACK,S,3000,3000,1,3000,0,0.0,店舗
ORD-202609-02376,2026/09/02,新宿店,OT-001,WOOL COAT,OUTER,BLACK,M,6200,6200,1,6200,0,0.0,店舗
ORD-202609-02383,2026/09/02,大阪店,JK-001,TECH JACKET,JACKET,NAVY,L,4500,4500,1,4500,0,0.0,店舗
ORD-202609-02392,2026/09/02,表参道店,PT-003,TAPERED PANTS,PANTS,BLACK,L,2800,2800,1,2800,0,0.0,店舗
ORD-202609-02457,2026/09/02,新宿店,AC-001,WOOL CAP,ACCESSORY,BLACK,XL,500,420,1,420,80,0.15,店舗
ORD-202609-02468,2026/09/02,表参道店,OT-002,CHESTER COAT,OUTER,BEIGE,L,6700,6700,2,13400,0,0.0,店舗
ORD-202609-02504,2026/09/02,新宿店,JK-003,QUILTED JACKET,JACKET,BLACK,S,5000,3750,1,3750,1250,0.25,店舗
ORD-202609-02509,2026/09/02,新宿店,AC-001,WOOL CAP,ACCESSORY,KHAKI,M,500,400,1,400,100,0.2,店舗
ORD-202609-02534,2026/09/02,表参道店,PT-005,CHINO PANTS,PANTS,BLACK,L,2300,2070,1,2070,230,0.1,店舗
ORD-202609-02569,2026/09/02,EC,OT-001,WOOL COAT,OUTER,BLACK,XL,6200,6200,2,12400,0,0.0,オンライン
ORD-202609-02584,2026/09/02,新宿店,KN-001,WOOL KNIT,KNIT,BLACK,XL,2500,2500,1,2500,0,0.0,店舗
ORD-202609-02633,2026/09/02,大阪店,SH-001,LOW SNEAKER,SHOES,GRAY,M,2400,2400,1,2400,0,0.0,店舗
ORD-202609-02651,2026/09/02,新宿店,KN-003,CREW KNIT,KNIT,WHITE,M,2000,2000,3,6000,0,0.0,店舗
ORD-202609-02751,2026/09/02,EC,SH-002,SUEDE BOOTS,SHOES,GRAY,L,2400,2400,1,2400,0,0.0,オンライン
ORD-202609-02786,2026/09/02,大阪店,AC-001,WOOL CAP,ACCESSORY,WHITE,M,500,500,1,500,0,0.0,店舗
ORD-202609-02818,2026/09/02,大阪店,KN-002,CABLE KNIT,KNIT,NAVY,XL,2000,2000,1,2000,0,0.0,店舗
ORD-202609-02852,2026/09/02,新宿店,PT-003,TAPERED PANTS,PANTS,WHITE,M,2800,2380,1,2380,420,0.15,店舗
ORD-202609-02962,2026/09/02,大阪店,OT-001,WOOL COAT,OUTER,BLACK,XL,6200,6200,1,6200,0,0.0,店舗
ORD-202609-00021,2026/09/03,EC,BG-001,TOTE BAG,BAG,BEIGE,L,1800,1620,1,1620,180,0.1,オンライン
ORD-202609-00032,2026/09/03,大阪店,AC-002,SILK SCARF,ACCESSORY,GRAY,S,1000,1000,1,1000,0,0.0,店舗
ORD-202609-00123,2026/09/03,EC,KN-001,WOOL KNIT,KNIT,KHAKI,L,2500,2500,3,7500,0,0.0,オンライン
ORD-202609-00157,2026/09/03,EC,TP-001,BASIC TEE,TOPS,BEIGE,M,1400,1400,1,1400,0,0.0,オンライン
ORD-202609-00244,2026/09/03,表参道店,AC-001,WOOL CAP,ACCESSORY,GRAY,M,500,500,1,500,0,0.0,店舗
ORD-202609-00326,2026/09/03,表参道店,TP-001,BASIC TEE,TOPS,GRAY,XL,1400,980,1,980,420,0.3,店舗
ORD-202609-00430,2026/09/03,表参道店,PT-003,TAPERED PANTS,PANTS,NAVY,L,2800,2800,2,5600,0,0.0,店舗
ORD-202609-00445,2026/09/03,表参道店,OT-003,MOD COAT,OUTER,NAVY,M,5200,5200,1,5200,0,0.0,店舗
ORD-202609-00456,2026/09/03,表参道店,BG-005,BACKPACK,BAG,BEIGE,M,3800,3800,3,11400,0,0.0,店舗
ORD-202609-00527,2026/09/03,新宿店,KN-002,CABLE KNIT,KNIT,BLACK,M,2000,1700,1,1700,300,0.15,店舗
ORD-202609-00554,2026/09/03,新宿店,OT-001,WOOL COAT,OUTER,NAVY,M,6200,4650,1,4650,1550,0.25,店舗
ORD-202609-00580,2026/09/03,EC,AC-003,LEATHER BELT,ACCESSORY,KHAKI,M,1000,1000,1,1000,0,0.0,オンライン
ORD-202609-00587,2026/09/03,表参道店,BG-002,SHOULDER BAG,BAG,BLACK,L,3300,3300,1,3300,0,0.0,店舗
ORD-202609-00591,2026/09/03,大阪店,SH-003,CHUKKA BOOTS,SHOES,BEIGE,L,3900,3900,1,3900,0,0.0,店舗
ORD-202609-00592,2026/09/03,大阪店,AC-003,LEATHER BELT,ACCESSORY,BLACK,L,1000,1000,1,1000,0,0.0,店舗
ORD-202609-00671,2026/09/03,EC,AC-001,WOOL CAP,ACCESSORY,BLACK,L,500,500,2,1000,0,0.0,オンライン
ORD-202609-00795,2026/09/03,EC,JK-002,SHELL JACKET,JACKET,WHITE,L,3000,2700,1,2700,300,0.1,オンライン
ORD-202609-00812,2026/09/03,EC,JK-003,QUILTED JACKET,JACKET,BLACK,S,5000,5000,1,5000,0,0.0,オンライン
ORD-202609-00850,2026/09/03,大阪店,OT-001,WOOL COAT,OUTER,GRAY,L,6200,6200,1,6200,0,0.0,店舗
ORD-202609-00865,2026/09/03,大阪店,OT-002,CHESTER COAT,OUTER,BLACK,L,6700,6700,1,6700,0,0.0,店舗
ORD-202609-00868,2026/09/03,EC,OT-001,WOOL COAT,OUTER,BLACK,M,6200,6200,1,6200,0,0.0,オンライン
ORD-202609-00901,2026/09/03,EC,OT-001,WOOL COAT,OUTER,GRAY,M,6200,6200,1,6200,0,0.0,オンライン
ORD-202609-01001,2026/09/03,EC,TP-003,BAND COLLAR SHIRT,TOPS,BLACK,L,1400,1400,1,1400,0,0.0,オンライン
ORD-202609-01015,2026/09/03,大阪店,BG-001,TOTE BAG,BAG,GRAY,M,1800,1800,1,1800,0,0.0,店舗
ORD-202609-01024,2026/09/03,EC,JK-001,TECH JACKET,JACKET,NAVY,M,4500,3380,1,3380,1120,0.25,オンライン
ORD-202609-01064,2026/09/03,表参道店,OT-001,WOOL COAT,OUTER,WHITE,XL,6200,6200,1,6200,0,0.0,店舗
ORD-202609-01082,2026/09/03,大阪店,SH-002,SUEDE BOOTS,SHOES,WHITE,XL,2400,1800,2,3600,1200,0.25,店舗
ORD-202609-01092,2026/09/03,EC,SH-003,CHUKKA BOOTS,SHOES,BLACK,XL,3900,3320,1,3320,580,0.15,オンライン
ORD-202609-01131,2026/09/03,EC,AC-001,WOOL CAP,ACCESSORY,WHITE,L,500,500,2,1000,0,0.0,オンライン
ORD-202609-01291,2026/09/03,大阪店,TP-002,OX SHIRT,TOPS,BEIGE,L,900,760,2,1520,280,0.15,店舗
ORD-202609-01304,2026/09/03,表参道店,BG-002,SHOULDER BAG,BAG,WHITE,M,3300,3300,3,9900,0,0.0,店舗
ORD-202609-01306,2026/09/03,大阪店,PT-001,SLIM PANTS,PANTS,WHITE,L,1800,1440,1,1440,360,0.2,店舗
ORD-202609-01332,2026/09/03,表参道店,AC-003,LEATHER BELT,ACCESSORY,NAVY,L,1000,1000,2,2000,0,0.0,店舗
ORD-202609-01337,2026/09/03,表参道店,TP-001,BASIC TEE,TOPS,NAVY,M,1400,1400,1,1400,0,0.0,店舗
ORD-202609-01424,2026/09/03,EC,PT-001,SLIM PANTS,PANTS,KHAKI,M,1800,1800,1,1800,0,0.0,オンライン
ORD-202609-01502,2026/09/03,EC,OT-003,MOD COAT,OUTER,BLACK,M,5200,5200,1,5200,0,0.0,オンライン
ORD-202609-01536,2026/09/03,EC,SH-001,LOW SNEAKER,SHOES,NAVY,M,2400,2400,1,2400,0,0.0,オンライン
ORD-202609-01540,2026/09/03,EC,PT-002,WIDE PANTS,PANTS,WHITE,L,1800,1800,1,1800,0,0.0,オンライン
ORD-202609-01602,2026/09/03,大阪店,TP-002,OX SHIRT,TOPS,BEIGE,L,900,900,1,900,0,0.0,店舗
ORD-202609-01627,2026/09/03,EC,KN-002,CABLE KNIT,KNIT,NAVY,M,2000,2000,2,4000,0,0.0,オンライン
ORD-202609-01628,2026/09/03,表参道店,PT-001,SLIM PANTS,PANTS,NAVY,L,1800,1350,1,1350,450,0.25,店舗
ORD-202609-01708,2026/09/03,大阪店,TP-002,OX SHIRT,TOPS,GRAY,M,900,900,1,900,0,0.0,店舗
ORD-202609-01709,2026/09/03,EC,KN-001,WOOL KNIT,KNIT,BLACK,XL,2500,2000,1,2000,500,0.2,オンライン
ORD-202609-01759,2026/09/03,大阪店,AC-003,LEATHER BELT,ACCESSORY,KHAKI,M,1000,1000,2,2000,0,0.0,店舗
ORD-202609-01773,2026/09/03,EC,AC-001,WOOL CAP,ACCESSORY,BLACK,M,500,420,1,420,80,0.15,オンライン
ORD-202609-01799,2026/09/03,表参道店,BG-003,2WAY BAG,BAG,BLACK,L,1800,1800,3,5400,0,0.0,店舗
ORD-202609-01807,2026/09/03,EC,BG-001,TOTE BAG,BAG,BEIGE,XL,1800,1800,1,1800,0,0.0,オンライン
ORD-202609-01854,2026/09/03,新宿店,SH-001,LOW SNEAKER,SHOES,BLACK,L,2400,1680,2,3360,1440,0.3,店舗
ORD-202609-01861,2026/09/03,大阪店,BG-003,2WAY BAG,BAG,WHITE,M,1800,1800,1,1800,0,0.0,店舗
ORD-202609-01880,2026/09/03,表参道店,BG-004,MINI POUCH,BAG,BEIGE,XL,3800,3800,1,3800,0,0.0,店舗
ORD-202609-01905,2026/09/03,表参道店,OT-001,WOOL COAT,OUTER,WHITE,L,6200,6200,1,6200,0,0.0,店舗
ORD-202609-01951,2026/09/03,大阪店,OT-002,CHESTER COAT,OUTER,GRAY,M,6700,6030,1,6030,670,0.1,店舗
ORD-202609-01961,2026/09/03,大阪店,KN-002,CABLE KNIT,KNIT,BEIGE,M,2000,1500,1,1500,500,0.25,店舗
ORD-202609-01992,2026/09/03,EC,BG-001,TOTE BAG,BAG,BLACK,XL,1800,1800,1,1800,0,0.0,オンライン
ORD-202609-02037,2026/09/03,大阪店,PT-003,TAPERED PANTS,PANTS,NAVY,M,2800,2100,1,2100,700,0.25,店舗
ORD-202609-02071,2026/09/03,大阪店,KN-002,CABLE KNIT,KNIT,BEIGE,XL,2000,2000,1,2000,0,0.0,店舗
ORD-202609-02092,2026/09/03,表参道店,JK-002,SHELL JACKET,JACKET,WHITE,XL,3000,3000,1,3000,0,0.0,店舗
ORD-202609-02096,2026/09/03,大阪店,AC-001,WOOL CAP,ACCESSORY,BLACK,M,500,500,1,500,0,0.0,店舗
ORD-202609-02206,2026/09/03,表参道店,JK-001,TECH JACKET,JACKET,NAVY,M,4500,3820,1,3820,680,0.15,店舗
ORD-202609-02240,2026/09/03,大阪店,SH-004,COURT SNEAKER,SHOES,BEIGE,L,3900,3900,1,3900,0,0.0,店舗
ORD-202609-02298,2026/09/03,新宿店,KN-001,WOOL KNIT,KNIT,KHAKI,S,2500,2500,1,2500,0,0.0,店舗
