combo_id,n1,n2,n3,n4,n5,sum,odd_count,low_count,official_score,model_components,tie_break_key,rank,relative_score
29775,2,3,13,18,20,56,2,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),17,18,1.0
44,1,2,3,5,23,34,4,4,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),18,19,1.0
107264,6,8,15,17,21,67,3,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),19,20,1.0
80961,4,9,13,18,21,65,3,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),20,21,1.0
84286,4,11,24,26,27,92,2,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),21,22,1.0
6667,1,3,19,22,25,70,4,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),22,23,1.0
137940,9,11,14,16,25,75,3,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),23,24,1.0
157730,12,19,23,29,31,114,4,1,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),24,25,1.0
98826,5,11,16,28,30,90,2,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),25,26,1.0
153705,11,19,20,22,26,98,2,1,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),26,27,1.0
130981,8,11,17,19,26,81,3,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),27,28,1.0
2254,1,2,10,19,28,60,2,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),28,29,1.0
95884,5,9,13,16,21,64,4,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),29,30,1.0
122335,7,11,19,27,31,95,5,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),30,31,1.0
68642,3,14,15,21,28,81,3,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),31,32,1.0
103377,5,18,24,28,31,106,2,1,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),32,33,1.0
120982,7,10,17,19,22,75,3,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),33,34,1.0
21269,1,10,21,23,29,84,4,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),34,35,1.0
64127,3,9,20,24,29,85,3,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),35,36,1.0
113228,6,13,16,22,30,87,1,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),36,37,1.0
143762,10,11,13,14,29,77,3,4,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),37,38,1.0
97911,5,10,19,26,27,87,3,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),38,39,1.0
61377,3,8,10,19,29,69,3,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),39,40,1.0
141190,9,14,27,29,30,109,3,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),40,41,1.0
130316,8,11,12,15,20,66,2,4,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),41,42,1.0
108211,6,9,11,16,22,64,2,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),42,43,1.0
22865,1,12,15,17,19,64,4,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),43,44,1.0
158497,13,14,16,26,31,100,2,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),44,45,1.0
82833,4,10,18,19,21,72,2,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),45,46,1.0
124271,7,13,23,25,27,95,5,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),46,47,1.0
8853,1,4,12,23,27,67,3,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),47,48,1.0
48999,2,15,18,21,26,82,2,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),48,49,1.0
89257,5,6,7,11,22,51,3,4,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),49,50,1.0
1645,1,2,8,9,25,45,3,4,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),50,51,1.0
41743,2,8,16,17,20,63,1,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),51,52,1.0
124712,7,14,18,23,31,93,3,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),52,53,1.0
115341,6,16,23,25,28,98,2,1,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),53,54,1.0
124255,7,13,22,27,30,99,3,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),54,55,1.0
153441,11,18,19,23,29,100,4,1,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),55,56,1.0
100924,5,13,21,24,26,89,3,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),56,57,1.0
34801,2,5,10,19,23,59,3,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),57,58,1.0
103942,5,22,23,27,31,108,4,1,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),58,59,1.0
16898,1,8,9,16,25,59,3,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),59,60,1.0
98306,5,11,12,26,31,85,3,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),60,61,1.0
150616,11,13,14,21,26,85,3,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),61,62,1.0
51980,3,4,7,19,21,54,4,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),62,63,1.0
44893,2,10,19,20,29,80,2,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),63,64,1.0
52270,3,4,8,22,28,65,1,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),64,65,1.0
8178,1,4,9,14,31,59,3,4,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),65,66,1.0
13589,1,6,11,24,27,69,3,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),66,67,1.0
42102,2,8,20,23,26,79,1,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),67,68,1.0
70372,3,17,19,22,30,91,3,1,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),68,69,1.0
154144,11,21,24,25,29,110,4,1,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),69,70,1.0
90942,5,6,16,18,26,71,1,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),70,71,1.0
153,1,2,3,10,17,33,3,4,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),71,72,1.0
159248,13,15,19,21,22,90,4,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),72,73,1.0
115678,6,17,22,25,29,99,3,1,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),73,74,1.0
90124,5,6,10,24,26,71,1,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),74,75,1.0
87062,4,15,18,26,29,92,2,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),75,76,1.0
103704,5,20,22,26,29,102,2,1,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),76,77,1.0
107324,6,8,15,22,26,77,1,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),77,78,1.0
116836,7,8,9,12,27,63,3,4,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),78,79,1.0
40995,2,8,11,13,19,53,3,4,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),79,80,1.0
21499,1,11,12,17,31,72,4,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),80,81,1.0
71216,3,20,22,30,31,106,2,1,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),81,82,1.0
28626,2,3,7,23,29,64,4,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),82,83,1.0
57744,3,6,11,17,26,63,3,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),83,84,1.0
167924,18,19,20,22,28,107,1,0,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),84,85,1.0
105836,6,7,18,23,27,81,3,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),85,86,1.0
80814,4,9,12,18,27,70,2,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),86,87,1.0
146032,10,13,16,26,27,92,2,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),87,88,1.0
1737,1,2,8,14,22,47,1,4,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),88,89,1.0
127976,8,9,12,29,31,89,3,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),89,90,1.0
153591,11,18,22,25,30,106,2,1,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),90,91,1.0
12704,1,6,7,24,26,64,2,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),91,92,1.0
63739,3,9,15,25,30,82,4,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),92,93,1.0
152527,11,15,23,28,31,108,4,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),93,94,1.0
166093,16,18,22,25,31,112,2,0,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),94,95,1.0
83527,4,11,14,15,23,67,3,4,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),95,96,1.0
113750,6,14,15,18,19,72,2,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),96,97,1.0
152245,11,15,18,20,31,95,3,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),97,98,1.0
59320,3,7,9,14,23,56,4,4,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),98,99,1.0
94776,5,8,16,22,23,74,2,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),99,100,1.0
